District,villageName,taluka,institutionType,organisationName,solarDemand
Sangli,Kumbhari ,Jat,Veterinary Hospital,Veterinary Dispensary Grade 1 Kumbhari,2kW
Sangli,Sonyal,Jat,Veterinary Hospital,Veterinary Dispensary Grade 1 Sonal,4kW
Sangli,Jat,Jat,Veterinary Hospital,Veterinary Dispensary Grade 1 Jat,4kW
Sangli,Karmale,Shirala,Veterinary Hospital,Veterinary Dispensary Grade 2 Karmale,5kW
Sangli,Soni,Miraj,Veterinary Hospital,Veterinary Dispensary Gr 1 Soni,2kW
Sangli,Takave ,Shirala,Veterinary Hospital,Veterinary Dispensary Grade 1 Takve,10kW
Sangli,Panumbre warun ,Shirala,Veterinary Hospital,Veterinary Dispensary Grade 2,3kW
Sangli,Bhalawani,Khanapur,Veterinary Hospital,Veterinary Dispensary Grade 1 Bhalwani,3kW
Sangli,Shirshi,Shirala,Veterinary Hospital,Veterinary Dispensary Shirshi,3kW
Sangli,Shirshi,Shirala,Veterinary Hospital,Veterinary Dispensary Shirshi,3kW
Sangli,Wakurde bk,Shirala,Veterinary Hospital,Veterinary Hospital Category 1 Wakurde Budruk,2kW
Sangli,Sangli,Miraj,Other,District Training Center,5kW
Sangli,Tadawale,Shirala,Veterinary Hospital,Veterinary Hospital Category 1 Tadvale,3kW
Sangli,Kokrud,Shirala,Veterinary Hospital,Veterinary Hospital Category 1 Kokarud,3kW
Sangli,Shirala,Shirala,Veterinary Hospital,Veterinary Hospital Category 1 Shirala,4kW
Sangli,Pare,Khanapur,Veterinary Hospital,Veterinary Hospital Category 1 Pare,1kW
Sangli,Yelapur ,Shirala,Veterinary Hospital,Avian Medical Hospital Velapur,5kW
Sangli,Ingrul ,Shirala,Veterinary Hospital,"Veterinary Hospital, Category-2, Ingrul",5kW
Sangli,Gude,Shirala,Veterinary Hospital,Avian Hospital Gude,5kW
Sangli,Khanapur ,Khanapur,Primary Health Center,Primary Health Center Khanapur,10kW+
Sangli,Yelavi,Tasgaon,Primary Health Center,"Primary Health Center, Yelavi",10kW
Sangli,Kavathe Ekand,Tasgaon,Health Subcenter,Aayushman Aarogya Mandir Kavathe Ekand ,3kW
Sangli,Nagav Kavathe ,Tasgaon,Health Subcenter,Aayushman Aarogya Mandir Nagaon Kavathe ,3kW
Sangli,Koulage,Tasgaon,Health Subcenter,Ayushman Arogya Mandir Kaulage,3kW
Sangli,Borgi bk,Jat,Veterinary Hospital,Veterinary Hospital Category 1 Borgi Budruk,10kW
Sangli,Borgaon,Tasgaon,Primary Health Center,Primary Health Center Borgaon,10kW
Sangli,KavthePiran,Miraj,Veterinary Hospital,"Veterinary Hospital Category 1, Kavathe Piran",3kW
Sangli,Umadi,Jat,Veterinary Hospital,Veterinary Hospital Category 1 Umadi.,2kW
Sangli,Bendri,Tasgaon,Veterinary Hospital,State Level Veterinary Hospital Category 2 Bendri,10kW+
Sangli,Mandur,Shirala,Veterinary Hospital,Veterinary Hospital Category 2 Mandur,3kW
Sangli,Charan,Shirala,Veterinary Hospital,Veterinary Medical Hospital Category-1 Charan,4kW
Sangli,Samdoli,Miraj,Veterinary Hospital,Veterinary Hospital Category 1 Samdoli,3kW
Sangli,Vejegaon,Khanapur,Primary Health Center,Phc vejegaon,10kW
Sangli,Nevari,Kadegaon,Primary Health Center,Primary Health Center Newari,10kW+
Sangli,Mangle,Shirala,Veterinary Hospital,Veterinary Dispensary Category I Mangle,10kW+
Sangli,Rajapur,Tasgaon,Health Subcenter,Ayushman Arogya Mandir Rajapur,4kW
Sangli,Turchi,Tasgaon,Health Subcenter,Ayushman Arogya Mandir Turchi,4kW
Sangli,Ranjani,Kavthe Mahankal,Veterinary Hospital,Veterinary Dispensary Category-2 Ranjani,2kW
Sangli,Nimbavade ,Atpadi,Veterinary Hospital,Veterinary dispensary Nimbawade,3kW
Sangli,Dighanchi ,Atpadi,Veterinary Hospital,Veterinary dispensary Dighanchi,5kW
Sangli,Savarde,Tasgaon,Health Subcenter,Ayushman arogya mandir savarde,3kW
Sangli,Sagaon,Shirala,Veterinary Hospital,Pashuvaidyakiy Davakhana Shreni 1 sagaon,10kW+
Sangli,Erandoli ,Miraj,Veterinary Hospital,Zip Veterinary Dispensary Category 1 Erandoli,3kW
Sangli,Shirala Firte Pathak,Shirala,Veterinary Hospital,Bird Medical Dispensary Mobile Team,10kW+
Sangli,Shirala,Shirala,Veterinary Hospital,Mobile Veterinary Clinic Shirala,2kW
Sangli,Baj,Jat,Veterinary Hospital,"Veterinary Dispensary Category 1, Baj",3kW
Sangli,Arla,Shirala,Veterinary Hospital,Pashuvaidyakiy Davakhana Shreni 1 Arla,10kW+
Sangli,Bilashi,Shirala,Veterinary Hospital,Veterinary clinic category 1,10kW
Sangli,Chikhali,Shirala,Veterinary Hospital,VETERINARY DISPENSARY GRADE ONE CHIKHALI,10kW
Sangli,Ashta ,Walwa,Veterinary Hospital,Veterinary Dispensary Ashta,10kW+
Sangli,Kasegoan ,Walwa,Veterinary Hospital,Veterinary dispensary Kasegav,3kW
Sangli,Salgare,Miraj,Veterinary Hospital,"Veterinary Dispensary Grade 1, Salgare",2kW
